app_id,name,is_free,price,final_price,discount_percent,review_score,review_score_desc,total_reviews,positive_ratio,genres,categories,player_modes,language_count,release_date,developers,publishers,header_image,short_description
578080,PUBG: BATTLEGROUNDS,True,0,0,0,5,복합적,2747758,0.6052,액션|어드벤처|대규모 멀티플레이어|무료 플레이,멀티플레이어|PvP|온라인 PvP|음량 개별 조절|스테레오 사운드|서라운드 사운드|컨트롤러 일부 지원|통계|Remote Play 휴대전화|Remote Play 태블릿|가족 공유,멀티플레이어|PvP,17,2017년 12월 21일,PUBG Corporation,"KRAFTON, Inc.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/841ea38bc58cabb70aef65365cf50bc2d79329d9/header.jpg?t=1786493086,"배틀로얄 유행의 시작이자, 그 정수를 보여준 PUBG: 배틀그라운드를 지금 무료로 플레이하세요! 다양한 맵에 낙하하여 무기와 보급품을 확보하고, 점점 줄어드는 블루존 속에서 끝까지 살아남아 승리를 쟁취하세요."
3321460,붉은사막 Enhanced,False,79800,63840,20,8,매우 긍정적,168913,0.8382,액션|어드벤처,싱글 플레이어|Steam 도전 과제|컨트롤러 완벽 지원|음량 개별 조절|게임패드 권장|DualSense 컨트롤러 지원|수시 저장|스테레오 사운드|자막 옵션|서라운드 사운드|Steam Cloud|HDR 사용 가능|가족 공유,싱글 플레이어,15,2026년 3월 19일,Pearl Abyss,Pearl Abyss,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3321460/4a895369007efe7cc9da27a999bbca2427d92bb3/header_koreana.jpg?t=1787909144,"파이웰 대륙을 배경으로 펼쳐지는 오픈월드 액션 어드벤쳐 게임, 붉은사막. 여러분은 회색갈기 클리프가 되어, 잃어버린 모든 것을 되찾고 다가오는 위협으로부터 세상을 구하기 위한 여정을 떠나게 됩니다. 광활한 야생, 숨겨진 고대 유적, 신비로운 어비스의 영역을 누비며 싸우고, 탐험하고, 발견하며 자신만의 길을 만들어 가세요."
1049590,이터널 리턴,True,0,0,0,6,대체로 긍정적,69773,0.7666,,멀티플레이어|PvP|온라인 PvP|Steam 트레이딩 카드|앱 내 구매|카메라 움직임 조정|색상 대체|음량 개별 조절|퀵타임 이벤트 없이 플레이 가능|가족 공유,멀티플레이어|PvP,14,2023년 7월 19일,Nimble Neuron,"Nimble Neuron|SapStaR Games|KRAFTON, Inc.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1049590/72918ebacd0d4f8537969dc8b976ceb98f681cab/header.jpg?t=1786327135,"이터널 리턴은 쿼터뷰로 진행되는 무료 배틀로얄 게임입니다. 제작, 사냥, 전투 그리고 멋진 캐릭터들을 경험해보시고 최후의 생존을 위한 전략적인 판단, 화려한 전투 플레이로 영원히 반복되는 실험에서 최후의 생존자가 되십시오."
4001890,낚시 방법,False,8400,8400,0,8,매우 긍정적,35829,0.9478,액션|캐주얼|인디|시뮬레이션,싱글 플레이어|멀티플레이어|협동|온라인 협동|Steam 도전 과제|컨트롤러 완벽 지원|음량 개별 조절|DUALSHOCK 컨트롤러 지원|DUALSHOCK 컨트롤러 지원|DualSense 컨트롤러 지원|DualSense 컨트롤러 지원|수시 저장|스테레오 사운드|가족 공유,싱글 플레이어|멀티플레이어|협동|온라인 협동,16,2026년 8월 20일,Dazed Games,Dazed Games,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/4001890/45c4ddff4901e32c4b8b643e1b97d0d01898d299/header.jpg?t=1787234618,1~4인용 물리 기반 낚시 시뮬레이터입니다. 당신은 술을 마시고 보트를 타고 놀다가 갑자기 작은 섬을 들이받았습니다. 집으로 돌아가려면 낚시하는 법을 배워야 하죠.
1623730,Palworld / 팰월드,False,32000,22400,30,8,매우 긍정적,481703,0.9454,액션|어드벤처|인디|RPG,싱글 플레이어|멀티플레이어|협동|온라인 협동|크로스 플랫폼 멀티플레이어|Steam 도전 과제|컨트롤러 완벽 지원|Steam 트레이딩 카드|Steam 창작마당|DUALSHOCK 컨트롤러 지원|DUALSHOCK 컨트롤러 지원|DualSense 컨트롤러 지원|DualSense 컨트롤러 지원|Steam Cloud|가족 공유,싱글 플레이어|멀티플레이어|협동|온라인 협동,17,2026년 7월 9일,Pocketpair,Pocketpair,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1623730/6912f19c43a95ff5fe514eedd35e68bf12335459/header.jpg?t=1784714419,"드넓은 세계에 서식하는 신비한 생물 ""팰""을 수집하여 전투, 건축, 농업에 투입하거나 공장에서 일을 시키는 등, 전에 없던 새로운 체험을 선사하는 멀티 지원 오픈월드 서바이벌 크래프트 게임입니다."
2075800,스타워즈 제로 컴퍼니™,False,56000,56000,0,6,대체로 긍정적,5972,0.7818,어드벤처|RPG|시뮬레이션|스포츠|전략,싱글 플레이어|Steam 도전 과제|Steam 트레이딩 카드|색상 대체|음량 개별 조절|난이도 조정|#category_playable_at_your_own_pace|퀵타임 이벤트 없이 플레이 가능|DUALSHOCK 컨트롤러 지원|DualSense 컨트롤러 지원|DualSense 컨트롤러 지원|수시 저장|스테레오 사운드|자막 옵션|서라운드 사운드|컨트롤러 일부 지원|Steam Cloud|HDR 사용 가능|가족 공유,싱글 플레이어,11,2026년 8월 27일,Bit Reactor,Electronic Arts,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2075800/2c7d5dad080c4888faaa03c4a955136c50f5bfae/header.jpg?t=1787848803,싱글 플레이어 턴제 전략 게임 스타워즈 제로 컴퍼니™에서 클론 전쟁의 황혼기를 배경으로 정예 부대를 지휘하며 험난하고 현실적인 스토리를 경험해 보세요.
381210,Dead by Daylight,False,21500,8600,60,6,대체로 긍정적,930671,0.7839,액션,멀티플레이어|PvP|온라인 PvP|협동|온라인 협동|크로스 플랫폼 멀티플레이어|Steam 도전 과제|컨트롤러 완벽 지원|Steam 트레이딩 카드|색상 대체|음량 개별 조절|Steam Input API 지원|스테레오 사운드|자막 옵션|서라운드 사운드|Steam Cloud|Remote Play 휴대전화|Remote Play 태블릿|Remote Play TV|가족 공유,멀티플레이어|협동|온라인 협동|PvP,15,2016년 6월 14일,Behaviour Interactive Inc.,Behaviour Interactive Inc.,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/381210/70faaaf204a2d3bd46cf4915f542e93fe76f16aa/header_alt_assets_9.jpg?t=1787769494,10년의 호러. 10년간 돌발적으로 급습한 공포와 아슬아슬한 순간들. 10년의 잔혹한 희생과 짜릿한 탈출. 죽음조차도 피할 수 없는 섬뜩한 악의 영역에 영원히 갇힌 네 명의 생존자는 신경과 재치를 시험하는 잔혹한 게임에서 피에 굶주린 살인마에 맞서 싸워야 합니다. 어느 편에 설지 선택하고 공포 게임 최고의 비대칭 멀티플레이어에서 긴장감과 공포의 세계로 들어가보세요.
2406770,Bodycam,False,37500,37500,0,6,대체로 긍정적,46641,0.7708,액션|인디|대규모 멀티플레이어|시뮬레이션|전략|앞서 해보기,멀티플레이어|PvP|온라인 PvP|Steam 도전 과제|컨트롤러 완벽 지원|앱 내 구매|DualSense 컨트롤러 지원|Steam Input API 지원|Steam Cloud|통계|Steam 순위표|가족 공유,멀티플레이어|PvP,10,2024년 6월 7일,Reissad Studio,Reissad Studio,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2406770/b670f1abe4e88ab523114ddbb42fcc1014411383/header_alt_assets_1.jpg?t=1787522517,"Bodycam은 Unreal Engine 5의 진정한 바디 카메라 뷰를 갖춘 최초의 전술적 멀티플레이어 FPS입니다. 근접전 전투는 생생하고 시끄러운 느낌을 줍니다. 모든 각도, 설명선, 글머리 기호가 중요합니다. 팀플레이, 전술, 클러치 기술이 핵심인 실제 지도에서 데스매치, 팀 데스매치, 윙맨을 플레이하세요 HUD가 없습니다. 팀워크와 전술이 승패를 가릅니다. 모든 교전에서 침착함과 정확한 판단이 승리를 좌우합니다."
269210,Hero Siege,False,8900,2940,67,5,복합적,47382,0.6716,액션|어드벤처|인디|대규모 멀티플레이어|RPG,싱글 플레이어|멀티플레이어|협동|온라인 협동|스크린 공유 및 분할 협동|공유 및 분할 화면|크로스 플랫폼 멀티플레이어|Steam 도전 과제|컨트롤러 완벽 지원|Steam 트레이딩 카드|앱 내 구매|Steam Cloud|Remote Play TV|Remote Play Together,싱글 플레이어|멀티플레이어|협동|온라인 협동,11,2014년 1월 29일,Panic Art Studios Ltd,Panic Art Studios Ltd,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/269210/1d4674142878a3683379122f28537a784d1c5c56/header.jpg?t=1787306700,"Hero Siege is a fast paced Pixel Art ARPG featuring an expansive roster of unique classes, deep build experimentation, and a player driven economy."
990080,호그와트 레거시,False,79800,7980,90,8,매우 긍정적,371597,0.8979,액션|어드벤처|RPG,싱글 플레이어|Steam 도전 과제|컨트롤러 완벽 지원|앱 내 구매|텍스트 크기 조정|카메라 움직임 조정|음량 개별 조절|게임 메뉴 음성 안내|DUALSHOCK 컨트롤러 지원|DUALSHOCK 컨트롤러 지원|DualSense 컨트롤러 지원|DualSense 컨트롤러 지원|수시 저장|스테레오 사운드|서라운드 사운드|Steam Cloud|HDR 사용 가능|가족 공유,싱글 플레이어,14,2023년 2월 10일,Avalanche Software,Warner Bros. Games,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/990080/a3cdc6f40d97df8ac993679c2dd1edeb5222421e/header.jpg?t=1778797474,호그와트 레거시는 몰입형 오픈월드 액션 RPG입니다. 이제 여러분도 꿈에 그리던 마법 세계에 직접 영향을 끼칠 수 있습니다. 마법 세계에서 펼쳐지는 모험의 주인공이 되어보세요.
1245620,ELDEN RING,False,64800,64800,0,8,매우 긍정적,1151285,0.9306,액션|RPG,싱글 플레이어|멀티플레이어|PvP|온라인 PvP|협동|온라인 협동|Steam 도전 과제|컨트롤러 완벽 지원|Steam 트레이딩 카드|카메라 움직임 조정|음량 개별 조절|퀵타임 이벤트 없이 플레이 가능|수시 저장|스테레오 사운드|서라운드 사운드|Steam Cloud|가족 공유,싱글 플레이어|멀티플레이어|협동|온라인 협동|PvP,15,2022년 2월 24일,"FromSoftware, Inc.","FromSoftware, Inc.|Bandai Namco Entertainment",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1245620/header.jpg?t=1787868578,"본 게임은 본격적인 다크 판타지 세계를 무대로 한 액션 RPG입니다. 드넓은 필드와 던전 탐험을 통해 미지의 것들을 발견해 보세요. 앞길을 막아서는 난관과 그것을 극복했을 때의 달성감, 그리고 등장인물들의 의도가 교착하는 군상극도 즐기실 수 있습니다."
2436940,세피리아,False,16500,16500,0,8,매우 긍정적,11249,0.9421,액션|어드벤처|인디|RPG,싱글 플레이어|멀티플레이어|협동|온라인 협동|Steam 도전 과제|컨트롤러 완벽 지원|DUALSHOCK 컨트롤러 지원|DUALSHOCK 컨트롤러 지원|DualSense 컨트롤러 지원|DualSense 컨트롤러 지원|Steam Cloud|가족 공유,싱글 플레이어|멀티플레이어|협동|온라인 협동,15,2026년 7월 31일,TEAM HORAY,TEAM HORAY,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2436940/cb7dc6f4ed2f0012eb557365966be9b69815f7ae/header.jpg?t=1787290452,"《던그리드》 제작진이 만든 탑다운 액션/RPG 로그라이트. 탑 깊은 곳을 탐험하며 아티팩트를 모아 강화하고, 쏟아지는 악마 무리에 맞서 위기에 빠진 토끼마을을 지켜내세요."
