app_id,name,rule_name,detail
431960,Wallpaper Engine,UNMATCHED_GENRE,"애니메이션과 모델링,디자인과 일러스트레이션,사진 편집"
1096900,RPG Maker MZ,UNMATCHED_GENRE,"디자인과 일러스트레이션,교육,웹 퍼블리싱,게임 개발"
431730,Aseprite,UNMATCHED_GENRE,"애니메이션과 모델링,디자인과 일러스트레이션,게임 개발"
2806050,Halo: Campaign Evolved,DESCRIPTION_TOO_SHORT,14자
1687950,페르소나 5 더 로열,DESCRIPTION_TOO_SHORT,12자
2893570,드래곤 퀘스트 I & II HD-2D Remake,DESCRIPTION_TOO_SHORT,11자
1036640,RPG Developer Bakin,UNMATCHED_GENRE,게임 개발
363890,RPG Maker MV,UNMATCHED_GENRE,"디자인과 일러스트레이션,교육,웹 퍼블리싱,게임 개발"
1283970,YoloMouse - Cursor Changer,UNMATCHED_GENRE,"애니메이션과 모델링,디자인과 일러스트레이션,교육,사진 편집,소프트웨어 교육,게임 개발"
4255580,Mouse X,UNMATCHED_GENRE,"애니메이션과 모델링,디자인과 일러스트레이션,사진 편집"
1366800,Crosshair X,UNMATCHED_GENRE,소프트웨어 교육
1325860,VTube Studio,UNMATCHED_GENRE,"애니메이션과 모델링,동영상 제작"
2904890,The Game of Sisyphus,DESCRIPTION_TOO_SHORT,17자
1898830,VBridger,UNMATCHED_GENRE,애니메이션과 모델링
2987180,ACTION GAME MAKER,UNMATCHED_GENRE,"애니메이션과 모델링,디자인과 일러스트레이션,소프트웨어 교육,웹 퍼블리싱,게임 개발"
