chunk_id,review_id,app_id,name,voted_up,playtime_hours,votes_up,chunk_index,text
730-232965962-0,232965962,730,Counter-Strike 2,True,2309.0,4,0,"게임은 유저가 운영하고 회사는 장사만 함  핵은 쳐돌아다니는데 잡는 건 감감무소식이고, 신고를 해도 이 새끼들이 신고를 읽기는 하는지 모르겠음.  스티커는 무슨 NFT마냥 개비싸게 처팔면서 정작 스킨은 갈수록 성의 없어지고, 그렇다고 기존 스킨 가치 방어를 해주는 것도 아님. 돈 빨아먹는 건 존나 열심히 하는데 게임 운영은 사설서버 관리자보다 못함.  신규 콘텐츠? 대충 던져놓고 끝. 핵 대응? 느그 알아서 하세요. 신고 시스템? 장식. 유저 피드백? 선택적 청취. 스킨 시장? 돈 필요할 때만 관심.  이 정도면 게임을 운영하는 게 아니라 유저들한테 서버 대여해주고 아이템 장사하는 수준임.  게임 자체는 존나 재밌는데 운영 때문에 게임을 접고 싶게 만드는 것도 재주다.  밸브야 제발 게임 좀 운영해라. 장사만 하지 말고."
730-231653981-0,231653981,730,Counter-Strike 2,True,793.0,3,0,"정말 월핵을 잡아준다면 밸브는 커다란 산을 하나 넘을 수 있는 게임이다.  게임 자체에 너무나 재밌고 FPS로 가져야할 낭만이 다분한데 월핵이라는 하나가 모든걸 망쳐버린다. 상대의 위치를 알고 플레이하는 것이 너무나 게임내용에 악영향을 끼쳐 한명이 사용함으로써 상대방의 맵핵 정도의  브리핑을 시전해버리는 경우도 허다하다. 사설서버의 로비때문인지 어떤 영향인지 모르겠으나, 사설서버의 핵감지기보다 핵 감지 자체의 부재로 사설서버(오윈, 페이스잇)이 프리미어보다 실력으로 평가지표가 된다는게 본 서버 게이머들 입장에서는 어이가 없다. 그들은 왜 본 서버의 게임성을 살리지못할까 생각할뿐이다. 세계적인 게임이 되려고 한다면 월핵만 잡아도 모든 사람들이 사설서버에서 해방되어 프리미어를 즐겁게 즐길수 있을 것이라 확신한다. 정말 애정어린 게임이지만,,,밸브의 대처가 너무나 아쉽다."
730-233358823-0,233358823,730,Counter-Strike 2,True,12.5,0,0,발로랑 비교가 안될정도의 클래식함. 글옵때 잠깐 했었는데 역시나 재밌다. 단 페이스잇으로 갈듯
730-233250731-0,233250731,730,Counter-Strike 2,True,17.5,0,0,재밌다 재밌다 재밌다 아크서바이벌보단 시간을 절약할수있어요!!!!!! ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ
730-233028815-0,233028815,730,Counter-Strike 2,True,0.5,0,0,한국인 새끼들 못 알아 먹을 거라 생각하고   전체 음성 채팅으로 생전 들어보지도 못한 갖은 욕을 해 대는데 ㅅㅂ 태어나서 그런 욕은 처음 들어봄
730-231718280-0,231718280,730,Counter-Strike 2,True,8.7,2,0,"저 한국인이고 발로란트,오버워치 유저인데 카스2는 상상을 뛰어넘게 재미있어요!"
730-232711913-0,232711913,730,Counter-Strike 2,True,268.2,0,0,게임 재밌는데 진짜 밸런스 못마춰요 진짜진짜 13대0으로 연속3번이예요
730-232485070-0,232485070,730,Counter-Strike 2,True,64.0,0,0,flying people and helicopters. interesting
730-231868668-0,231868668,730,Counter-Strike 2,True,1054.7,0,0,장점: 현존하는 모든 게임중 도파민 1황    단점: 도파민을 불법(핵)으로 섭취하려는 유저들이 많음
730-233614121-0,233614121,730,Counter-Strike 2,True,100.6,0,0,"waller, spinner, bot    i like ♥♥♥♥♥♥♥ these  i dont like VAC"
730-233528308-0,233528308,730,Counter-Strike 2,True,444.1,0,0,사설만 하면 재밌는 게임 프미는 핵 피하기 게임이라 비추
730-233022435-0,233022435,730,Counter-Strike 2,True,126.4,0,0,중러 형님들 너무 많아요 고등학교 시절 제2외국어를 중국어 고른사람에게 추천드립니다
730-233311610-0,233311610,730,Counter-Strike 2,True,201.7,0,0,this game is very good and very interesting
730-231733826-0,231733826,730,Counter-Strike 2,True,41.0,0,0,게임이 정말 재밌어요! It's so good game!
730-231948466-0,231948466,730,Counter-Strike 2,False,255.6,12,0,"게임자체는 훌륭하지만 관리가 개판임  사실상 프라임을사야 제대로된 경쟁전을 할수있음에도 프라임전용매칭해도 봇,핵,중국인,톡식러시안 넘쳐나는데  발로란트를 높히 평가하지는않지만 발로란트를 하는게 낫지않겠냐는게 결론"
730-232184195-0,232184195,730,Counter-Strike 2,False,542.5,6,0,"프라임 절대 사지마요. 경쟁전 하려고 프라임구매했는데, 프라임 사면 프라임유저끼리만 매칭됨  → 이거까지는 괜찮은데 10명중 5명이 AI임  → 나머지 5명중 1~2명은 핵임  → 이제 본인포함 2-3명은 개빡쳐서 게임던짐 이거 무한반복임 ㅋㅋㅋ 할거면 무료로 그냥 즐기셈"
730-232897649-0,232897649,730,Counter-Strike 2,False,179.9,1,0,Always Hack Always More Hack Always Helikopter Always Esp Always WallHack Always Premier Hack  Always  DeathMatches Farm BOT Always Revolver Hack Always Vac - Steam not working   Always Ugly Words in AS Always We are back to the game Always We have no choice Always  But We LOVE THIS GAME ALWAYS
730-232941725-0,232941725,730,Counter-Strike 2,False,1024.2,2,0,"처음 시작했을 때는 재밌어서 계속 했고 스킨도 사고 했는데, 그냥 거기서 멈췄어야 했음. 프라임 사고 프리미엄 돌려보니까 트롤러랑 핵유저 때문에 미치겠음.차라리 프라임 살 돈으로 다른 데 쓰는 게 스트레스도 안 받고 훨씬 합리적임. 이 글 쓰기전에도 트롤 유저 만남. 그 덕분에 rtx pro 6000 단 pc 샷건치다 부서짐 덕분에 똥컴씀. 내 연승,점수 돌려내 ssibal놈아"
730-232816205-0,232816205,730,Counter-Strike 2,False,1521.7,0,0,이번 시즌 역대급으로 벨브가 핵을 방치함 그냥 프미 돌리면 10판 중 7판은 핵아니면 봇임 저번시즌 6천점이었던 애가 갑자기 22000점? 그냥 누가누가 더 티 안나게 핵쓰냐 대결임 기본적인 무브나 에임도 꾸진데 월핵으로 3만점이 찍히는 시즌 아무리 게임이 재밌어도 사람이랑 싸워야지 이건 절대 아니야 내가 진짜 이 게임 사랑하는데 너무 안타까움 벨브가 그냥 너무 밉다 페이스잇 한국서버 만들어주면 소원이 없겠네
730-232762061-0,232762061,730,Counter-Strike 2,False,221.3,0,0,"Because of troll players, wrongful bans resulting in 7-day competitive cooldowns, and players using cheats, this is a garbage game. Don't play it."
730-232409138-0,232409138,730,Counter-Strike 2,False,39.4,0,0,학생시절 카운터스트라이크를 cd로 구매해서 한 기억 때문에 컴퓨터 업글한 이후로 올만에 해볼가 해서 했는데.. 안한지 오래 되서 그런진 몰라도 스트레스가 엄청 쌓일만큼 적응을 못하겠네요. 핵 같아 보이는 사람도 있고 딜레이도 있고..   저에겐 이게임은 가끔 총게임 하고 싶을 때 딱 30분 안으로 하는 정도로 만족해야 할 듯 싶습니다 그 이상 하면 스트레스 쌓이네요
730-231670003-0,231670003,730,Counter-Strike 2,False,83.6,0,0,상대팀에 핵이 있으면 우리팀에도 호신용으로 하나 꺼내옴 미친새기들임ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
730-233492075-0,233492075,730,Counter-Strike 2,False,55.9,1,0,"짱개, 쑤까블리앗, 인뻬르노 씨발련들만 없으면 겜 클린함"
730-231948466-0,231948466,730,Counter-Strike 2,False,255.6,12,0,"게임자체는 훌륭하지만 관리가 개판임  사실상 프라임을사야 제대로된 경쟁전을 할수있음에도 프라임전용매칭해도 봇,핵,중국인,톡식러시안 넘쳐나는데  발로란트를 높히 평가하지는않지만 발로란트를 하는게 낫지않겠냐는게 결론"
730-228441052-0,228441052,730,Counter-Strike 2,False,577.5,13,0,게임은 재밌음 근데 발로란트보다 너무 많은 핵이 사람을 지치게 만듬 김치핵쟁이들도 너무 많음 스텟은 프로게이머 동크보다 좋은데 아닌척하는게 개역겨움 한두명이 아님 그냥 저그마냥 증식 존나함 핵때문에 게임접음 사설서버도 핵이 많음 그냥 핵천지
730-227718562-0,227718562,730,Counter-Strike 2,False,547.5,5,0,업데이트는 씨발 존나 하면서 핵쟁이들은 왜 이렇게 많냐? 뭘 위해 업데이트를 하는거냐? 개 버러지 좆같은게임 하지만 오늘도 플래이할거임 두번 세번 할거임 병신 좆망겜 영원해라 씨발련들아
730-229556759-0,229556759,730,Counter-Strike 2,False,508.2,5,0,"다 좋은데, 핵 사용자가 너무 많고 VAC(밸브 안티 치트)가 사실상 무용지물이라 프리미어 매치는 본 서버에서 하지 않고, 한국 기준 핑 80~90이 나오는 사설 서버인 '페이스잇(FACEIT)' 등으로 넘어가서 해야 한다는 단점이 있습니다.  본 서버는 캐주얼 또는 경쟁 만 즐기시고, 프리미어 매치는 절대 비추천합니다. 10판 중 8~9판이 핵 사용자입니다. 대놓고 쓰는 핵이면 차라리 나은데, 월핵이나 에임핵을 쓰면서 아닌 척 연기하는 유저들을 보면 정말 역겹습니다.  프리미어 매치를 꼭 하고 싶으신 분들은 핑이 80~90 나오더라도 페이스잇에서 하시길 권장합니다.  다만, 페이스잇은 스머프(부계정 양학) 유저가 많다는 점과 한국 유저는 핑과 로스가 매우 높아 탄이 잘 박히지 않으며, 분명히 머리를 먼저 쐈는데도 상대는 안 죽고 나만 죽는 불쾌한 경험을 자주 하게 된다는 단점이 있습니다. 또한 동남아나 몽골인들에 A, B개돌 외에는 모르는 낮은 지능수준과 처참한 로스환경으로 자신의 실력이 50%는 감소하는 경험을 할수있습니다.  한국인 여럿이서 파티를 맺어 하신다면 적극 추천드립니다.  페이스잇의 차선책으로 '오윈(5EWIN)'이나 '완미(Perfect World)'가 있지만, 중국 서버이다 보니 신분증이나 여권, 얼굴 사진 등을 제출해야 한다는 점이 한국인 입장에서는 매우 꺼려집니다. 잃을 것이 없는 거지세기라면  개인정보가 중국으로 넘어가든 상관없겠지만, 금융 거래가 많고 저처럼 돈이많으시며 사회생활을 활발히 하는 분들에게는 선뜻 개인정보를 넘기기가 상당히 부담스러운 것이 사실입니다."
730-232184195-0,232184195,730,Counter-Strike 2,False,542.5,6,0,"프라임 절대 사지마요. 경쟁전 하려고 프라임구매했는데, 프라임 사면 프라임유저끼리만 매칭됨  → 이거까지는 괜찮은데 10명중 5명이 AI임  → 나머지 5명중 1~2명은 핵임  → 이제 본인포함 2-3명은 개빡쳐서 게임던짐 이거 무한반복임 ㅋㅋㅋ 할거면 무료로 그냥 즐기셈"
730-227066191-0,227066191,730,Counter-Strike 2,False,303.5,5,0,핵 많고 신고해도 안잡음 그냥 핵쓰고 아닌 척 연기하면 재밌게 할 수 있는 게임
730-231051438-0,231051438,730,Counter-Strike 2,False,1112.3,2,0,"핵이 너무 많은데 신고를 아무리 해도 처리를 안해줌.. 대놓고 월핵,에임핵 쓰는데..신고를 100번씩 해도 수용을 안해줌... 이럴거면 신고탭 왜 만들어놨냐 그냥 놔두지 너도 나도 핵 쓰게. 리플레이 저장해놓고 핵유저 밴 당했나 가끔 보는데 계속 겜 하더라"
730-232897649-0,232897649,730,Counter-Strike 2,False,179.9,1,0,Always Hack Always More Hack Always Helikopter Always Esp Always WallHack Always Premier Hack  Always  DeathMatches Farm BOT Always Revolver Hack Always Vac - Steam not working   Always Ugly Words in AS Always We are back to the game Always We have no choice Always  But We LOVE THIS GAME ALWAYS
730-232941725-0,232941725,730,Counter-Strike 2,False,1024.2,2,0,"처음 시작했을 때는 재밌어서 계속 했고 스킨도 사고 했는데, 그냥 거기서 멈췄어야 했음. 프라임 사고 프리미엄 돌려보니까 트롤러랑 핵유저 때문에 미치겠음.차라리 프라임 살 돈으로 다른 데 쓰는 게 스트레스도 안 받고 훨씬 합리적임. 이 글 쓰기전에도 트롤 유저 만남. 그 덕분에 rtx pro 6000 단 pc 샷건치다 부서짐 덕분에 똥컴씀. 내 연승,점수 돌려내 ssibal놈아"
730-230595592-0,230595592,730,Counter-Strike 2,False,245.0,2,0,여윽시 애미 몸 팔아서 핵사는 샛기들 ㅋㅋㅋ 핵쟁이 샛기들 애미 몸값 ㅈㄴ 싸구나~~ 핵을 잡을 생각도 없고~~
730-232816205-0,232816205,730,Counter-Strike 2,False,1521.7,0,0,이번 시즌 역대급으로 벨브가 핵을 방치함 그냥 프미 돌리면 10판 중 7판은 핵아니면 봇임 저번시즌 6천점이었던 애가 갑자기 22000점? 그냥 누가누가 더 티 안나게 핵쓰냐 대결임 기본적인 무브나 에임도 꾸진데 월핵으로 3만점이 찍히는 시즌 아무리 게임이 재밌어도 사람이랑 싸워야지 이건 절대 아니야 내가 진짜 이 게임 사랑하는데 너무 안타까움 벨브가 그냥 너무 밉다 페이스잇 한국서버 만들어주면 소원이 없겠네
